row_kind,row_id,objective_id,checklist_id,display_name,checklist_entry,category,subcategory,checklist_tab,mapping_type,route_placement,source_content,item_member_rows,item_member_names,item_member_route_treatments,guide_name_match,coverage_source,internal_coverage_row_count,acquire_treatment,use_or_turn_in_treatment,storage_treatment,hold_or_stage_treatment,route_resolution_treatment,exclusion_treatment,branch_treatment,audit_status,coverage_statuses,completion_statuses,guide_locations,guide_cues,recommended_action,notes
collectible_objective,OBJ-001171,OBJ-001171,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 1 taken,none,
collectible_objective,OBJ-001172,OBJ-001172,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 10 taken,none,
collectible_objective,OBJ-001173,OBJ-001173,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 2 taken,none,
collectible_objective,OBJ-001174,OBJ-001174,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 3 taken,none,
collectible_objective,OBJ-001175,OBJ-001175,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 4 taken,none,
collectible_objective,OBJ-001176,OBJ-001176,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 5 taken,none,
collectible_objective,OBJ-001177,OBJ-001177,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 6 taken,none,
collectible_objective,OBJ-001178,OBJ-001178,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 7 taken,none,
collectible_objective,OBJ-001179,OBJ-001179,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 8 taken,none,
collectible_objective,OBJ-001180,OBJ-001180,,Jiub's Opus,,book_document,quest_book_title,,,main_route,dawnguard,0,,,Y,objective,1,Y,Y,N,Y,N,N,N,collectible_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,Jiubs Opus Page 9 taken,none,
