audit_area,audit_status,recommended_action,source_line,section,record_type,record_id,mapped_objective_id,name,current_location,current_status,closeout_status,notes
hard_save_register,pass_register_save_present_in_guide,none,23,,hard_save,HS-AE-BITTERCUP-ALTAR,,HS-AE-BITTERCUP-ALTAR,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,65,,hard_save,HS-AE-CIVIL-WAR-CHAMPIONS,,HS-AE-CIVIL-WAR-CHAMPIONS,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,22,,hard_save,HS-AE-GHOSTS-PROPAGANDA,,HS-AE-GHOSTS-PROPAGANDA,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,21,,hard_save,HS-AE-GHOSTS-TEMPLE,,HS-AE-GHOSTS-TEMPLE,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,31,,hard_save,HS-AE-THE-CAUSE-DEADLANDS,,HS-AE-THE-CAUSE-DEADLANDS,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,30,,hard_save,HS-AE-THE-CAUSE-RIELLE,,HS-AE-THE-CAUSE-RIELLE,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,38,,hard_save,HS-AETHERIUM-FORGE,,HS-AETHERIUM-FORGE,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,45,,hard_save,HS-ALL-PERKS-START,,HS-ALL-PERKS-START,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,50,,hard_save,HS-BLOODCHILL-DINNER,,HS-BLOODCHILL-DINNER,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,64,,hard_save,HS-COLLEGE-VELEHK-SAIN,,HS-COLLEGE-VELEHK-SAIN,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,15,,hard_save,HS-CW-BEFORE-FACTION-OATH,,HS-CW-BEFORE-FACTION-OATH,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,32,,hard_save,HS-DAEDRIC-BLACK-STAR,,HS-DAEDRIC-BLACK-STAR,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,33,,hard_save,HS-DAEDRIC-CLAVICUS,,HS-DAEDRIC-CLAVICUS,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,34,,hard_save,HS-DAEDRIC-HIRCINE-GROTTO,,HS-DAEDRIC-HIRCINE-GROTTO,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,35,,hard_save,HS-DAEDRIC-MEHRUNES-SHRINE,,HS-DAEDRIC-MEHRUNES-SHRINE,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,36,,hard_save,HS-DAEDRIC-NAMIRA-FEAST,,HS-DAEDRIC-NAMIRA-FEAST,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,37,,hard_save,HS-DAEDRIC-VAERMINA-SKULL,,HS-DAEDRIC-VAERMINA-SKULL,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,129,,hard_save,HS-DAEDRIC-WHISPERING-DOOR,,HS-DAEDRIC-WHISPERING-DOOR,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,18,,hard_save,HS-DB-ABANDONED-SHACK,,HS-DB-ABANDONED-SHACK,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,16,,hard_save,HS-DG-BLOODLINE,,HS-DG-BLOODLINE,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,17,,hard_save,HS-DG-MAIN-RETURN,,HS-DG-MAIN-RETURN,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,60,,hard_save,HS-DRAGONBORN-A-NEW-DEBT,,HS-DRAGONBORN-A-NEW-DEBT,,,,Registered hard save appears in main-guide-v1.md.
hard_save_register,pass_register_save_present_in_guide,none,61,,hard_save,HS-DRAGONBORN-KOLBJORN-FUND-1,,HS-DRAGONBORN-KOLBJORN-FUND-1,,,,Registered hard save appears in main-guide-v1.md.
