row_kind,row_id,objective_id,checklist_id,location_name,checklist_entry,subcategory,source_content,mapping_type,route_placement,location_catalog_category,discoverable_status,clearable_status,delver_count_status,counter_treatment,route_cluster,route_corridor,coordinate_status,guide_name_match,internal_coverage_row_count,clear_treatment,discover_treatment,enter_treatment,hold_or_avoid_treatment,secondary_or_duplicate_treatment,route_resolution_treatment,exclusion_treatment,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
location_objective,OBJ-001958,OBJ-001958,,Abandoned Prison,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,eastern_skyrim,kynesgrove_eastmarch_road,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,redistributed_or_gated,complete,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,none,
location_objective,OBJ-001959,OBJ-001959,,Alftand,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,northern_skyrim,nightgate_pale_pass,exact_marker,Y,1,Y,Y,Y,N,N,N,N,location_objective_covered,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
location_objective,OBJ-001960,OBJ-001960,,Altar of Thrond,,clearable_location,dragonborn,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,solstheim,thirsk_central,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,placed_in_guide,complete,"Vahlok's Tomb, Riekling Roads, And Thirsk",none,
location_objective,OBJ-001961,OBJ-001961,,Ancient's Ascent,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,southern_skyrim,falkreath_pine_forest,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,redistributed_or_gated,complete,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,none,
location_objective,OBJ-001962,OBJ-001962,,Angarvunde,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,atypical_does_not_count,clearable_but_not_delver,southern_skyrim,ivarstead_rift_pass,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,completed_now,complete,Riften Thaneship Frost And Rift Roads,none,
location_objective,OBJ-001963,OBJ-001963,,Ansilvund,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,eastern_skyrim,kynesgrove_eastmarch_road,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,placed_in_guide,complete,Windhelm Follow-Up And Eastmarch Roads,none,
location_objective,OBJ-001964,OBJ-001964,,Arcwind Point,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,southern_skyrim,ivarstead_rift_pass,exact_marker,Y,1,Y,Y,N,Y,N,N,N,location_objective_covered,placed_in_guide,complete,High-Risk AE Routes and Separate Worldspaces,none,
location_objective,OBJ-001965,OBJ-001965,,Arkngthamz,,clearable_location,dawnguard,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,western_skyrim,old_hroldan_reach_road,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,placed_in_guide,explored_now_clear_tag_not_claimed,Arkngthamz And The First Aetherium Shards,none,
location_objective,OBJ-001966,OBJ-001966,,Ashfallow Citadel,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,solstheim,thirsk_central,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,placed_in_guide,complete,"Solstheim Entry, Raven Rock Core, And Frostmoon Rings",none,
location_objective,OBJ-001967,OBJ-001967,,Autumnshade Clearing,,clearable_location,base_game,,main_route,clearable_location,source_lists_discoverable,source_lists_clearable,counts,delver_candidate_counts_when_cleared,southeast_skyrim,riften_rift,exact_marker,Y,1,Y,Y,N,N,N,N,N,location_objective_covered,completed_now,complete,Riften Thaneship Frost And Rift Roads,none,
