row_kind,row_id,objective_id,checklist_id,display_name,checklist_entry,category,subcategory,checklist_tab,mapping_type,route_placement,source_content,book_category,support_table_rows,representative_sources,selection_type,selection_status,selected_source,source_location,route_timing,guide_name_match,coverage_source,internal_coverage_row_count,acquire_treatment,read_or_learn_treatment,storage_treatment,hold_or_stage_treatment,duplicate_or_covered_treatment,master_gate_treatment,route_resolution_treatment,exclusion_treatment,branch_treatment,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
book_document_objective,OBJ-000761,OBJ-000761,,Animal Allegiance,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,N,Y,N,Y,N,N,N,N,N,book_document_objective_covered,advanced_in_guide | word_learned_now,in_progress,"Companions Finale, Totems, And Beast-Blood Preservation | Riften Thaneship Frost And Rift Roads",none,
book_document_objective,OBJ-000762,OBJ-000762,,Aura Whisper,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,word_learned_now,in_progress,"Riften Thaneship Frost And Rift Roads | Whispers, Solitude Jobs, And The Wedding Assassination",none,
book_document_objective,OBJ-000763,OBJ-000763,,Battle Fury,,spell_power,dragon_shout,,,main_route,dragonborn,,0,,,,,,,Y,objective,1,Y,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete,"Vahlok's Tomb, Riekling Roads, And Thirsk",none,
book_document_objective,OBJ-000764,OBJ-000764,,Become Ethereal,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,Y,N,N,N,N,N,book_document_objective_covered,progressed_in_guide,partial,Main Quest Staging Before Sky Haven,none,
book_document_objective,OBJ-000765,OBJ-000765,,Bend Will,,spell_power,dragon_shout,,,main_route,dragonborn,,0,,,,,,,Y,objective,3,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete | in_progress_1_of_3 | in_progress_2_of_3,"Miraak Finale, Lost Knowledge, And Last Black Books | Tel Mithryn, Nchardak, And Kagrumez | Temple Of Miraak, Skaal, And Stalhrim",none,
book_document_objective,OBJ-000766,OBJ-000766,,Call Dragon,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
book_document_objective,OBJ-000767,OBJ-000767,,Call of Valor,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer,none,
book_document_objective,OBJ-000768,OBJ-000768,,Clear Skies,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
book_document_objective,OBJ-000769,OBJ-000769,,Cyclone,,spell_power,dragon_shout,,,main_route,dragonborn,,0,,,,,,,Y,objective,5,N,Y,N,Y,N,N,N,N,N,book_document_objective_covered,held_for_later | placed_in_guide,complete | held_for_benkongerike_route | held_for_white_ridge_route | in_progress_2_of_3 | in_progress_kolbjorn_word_learned,"Kolbjorn Excavation And Raven Rock West | Miraak Finale, Lost Knowledge, And Last Black Books | Tel Mithryn, Nchardak, And Kagrumez | Temple Of Miraak, Skaal, And Stalhrim",none,
book_document_objective,OBJ-000770,OBJ-000770,,Disarm,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,word_learned_now,in_progress,Goldenglow Honningbrew Solitude And Snow Veil,none,
book_document_objective,OBJ-000771,OBJ-000771,,Dismay,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,word_learned_now,in_progress,Labyrinthian And The Eye Of Magnus | Riften Thaneship Frost And Rift Roads,none,
book_document_objective,OBJ-000772,OBJ-000772,,Dragon Aspect,,spell_power,dragon_shout,,,main_route,dragonborn,,0,,,,,,,Y,objective,3,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete | in_progress | in_progress_2_of_3,"Miraak Finale, Lost Knowledge, And Last Black Books | Solstheim Entry, Raven Rock Core, And Frostmoon Rings | Temple Of Miraak, Skaal, And Stalhrim",none,
book_document_objective,OBJ-000773,OBJ-000773,,Dragonrend,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
book_document_objective,OBJ-000774,OBJ-000774,,Drain Vitality,,spell_power,dragon_shout,,,main_route,dawnguard,,0,,,,,,,Y,objective,3,N,Y,N,Y,N,N,N,N,Y,book_document_objective_covered,advanced_in_guide | placed_in_guide | word_placed_in_guide,complete | in_progress | partial_1_of_3,Dawnguard Fork And Volkihar Branch | Dawnguard Worldspaces | High-Risk AE Routes and Separate Worldspaces,none,
book_document_objective,OBJ-000775,OBJ-000775,,Elemental Fury,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,Y,N,N,N,N,book_document_objective_covered,duplicate_covered_by_existing_route,complete_for_word,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,none,
book_document_objective,OBJ-000776,OBJ-000776,,Fire Breath,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,first_word_learned | progressed_in_guide,in_progress,Blades Research Blackreach And The Fallen | Companions Entry,none,
book_document_objective,OBJ-000777,OBJ-000777,,Frost Breath,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,partial_word_complete,partial_word_complete,Potema Shield Of Solitude And Bone Wolf,none,
book_document_objective,OBJ-000778,OBJ-000778,,Ice Form,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,partial_shout_complete | partial_word_2_of_3,"Dawnstar, Pale Blade, And Heljarchen | Winterhold, College Entry, And Saarthal",none,
book_document_objective,OBJ-000779,OBJ-000779,,Kyne's Peace,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,N,Y,N,Y,N,N,N,N,N,book_document_objective_covered,redistributed_or_gated | word_learned_now,complete_for_remaining_word | in_progress_shout_words,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump | Southern Warm Corridor,none,
book_document_objective,OBJ-000780,OBJ-000780,,Marked for Death,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,advanced_in_guide | placed_in_guide,one_word_learned | partial_word_complete,Cicero Aventus And The Sanctuary Door | Windhelm Murder Investigation And White Phial,none,
book_document_objective,OBJ-000781,OBJ-000781,,Slow Time,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,3,N,Y,N,Y,N,N,N,N,N,book_document_objective_covered,progressed_in_guide | word_learned_now,in_progress | partial,"Imperial Civil War | Labyrinthian And The Eye Of Magnus | Security, Shadowmere, And The Brotherhood Endgame",none,
book_document_objective,OBJ-000782,OBJ-000782,,Soul Tear,,spell_power,dragon_shout,,,main_route,dawnguard,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,none,
book_document_objective,OBJ-000783,OBJ-000783,,Storm Call,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,2,Y,Y,N,Y,N,N,N,N,N,book_document_objective_covered,placed_in_guide,partial_word_2_of_3 | partial_word_Qo_acquired,"Dawnstar, Pale Blade, And Heljarchen | World-Eater's Eyrie and Dragonslayer",none,
book_document_objective,OBJ-000784,OBJ-000784,,Summon Durnehviir,,spell_power,dragon_shout,,,main_route,dawnguard,,0,,,,,,,Y,objective,1,N,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete,Dawnguard Worldspaces,none,
book_document_objective,OBJ-000785,OBJ-000785,,Throw Voice,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,1,N,Y,N,N,Y,N,N,N,N,book_document_objective_covered,duplicate_covered_by_existing_route,complete,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,none,
book_document_objective,OBJ-000786,OBJ-000786,,Unrelenting Force,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,3,N,Y,N,Y,N,N,N,N,N,book_document_objective_covered,first_word_learned_and_unlocked | placed_in_guide | progressed_and_completed,complete | partial_shout_completion,Bleak Falls Barrow And First Dragon | Main Quest Staging Before Sky Haven,none,
book_document_objective,OBJ-000787,OBJ-000787,,Whirlwind Sprint,,spell_power,dragon_shout,,,main_route,base_game,,0,,,,,,,Y,objective,3,Y,Y,N,Y,N,N,N,N,N,book_document_objective_covered,progressed_in_guide | word_placed_in_guide,partial | progressed,Bards College Lost Library And Instrument Roads | Haafingar Caves Volskygge And Night Hunter | Main Quest Staging Before Sky Haven,none,
book_document_objective,OBJ-000795,OBJ-000795,,Waking Dreams,,spell_power,black_book_power_set,,,main_route,dragonborn,,0,,,,,,,Y,objective,2,N,N,Y,Y,N,N,N,N,N,book_document_objective_covered,placed_in_guide,available_not_spent | available_unused,"Black Book Defaults and Progression Switches | Miraak Finale, Lost Knowledge, And Last Black Books",none,
book_document_objective,OBJ-000796,OBJ-000796,,Epistolary Acumen,,spell_power,black_book_power_set,,,main_route,dragonborn,,0,,,,,,,Y,objective,2,Y,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete | default_retained,"Black Book Defaults and Progression Switches | Tel Mithryn, Nchardak, And Kagrumez",none,
book_document_objective,OBJ-000797,OBJ-000797,,Filament and Filigree,,spell_power,black_book_power_set,,,main_route,dragonborn,,0,,progression_policy,selected_until_skill_books_read,Use Scholar's Insight before the planned skill-book reading pass; switch to final Black Book defaults after skill-book completion.,Black Book power swap surface,Read selected skill books late enough to preserve progression value.,Y,objective,2,Y,Y,Y,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete_default_secret_of_arcana | default_reconfirmed,Black Book Defaults and Progression Switches | Kolbjorn Excavation And Raven Rock West,none,
book_document_objective,OBJ-000798,OBJ-000798,,The Hidden Twilight,,spell_power,black_book_power_set,,,main_route,dragonborn,,0,,,,,,,Y,objective,2,Y,Y,N,N,N,N,N,N,N,book_document_objective_covered,placed_in_guide,complete | default_reconfirmed,"Black Book Defaults and Progression Switches | Tel Mithryn, Nchardak, And Kagrumez",none,
